bioguide_id	party	gender	title	birthdate	firstname	middlename	lastname	name_suffix	state	district	senate_class	website	fec_id	twitter_id
C001095	R	M	Sen	1977-05-13	Tom		Cotton		AR	Junior Seat	II	https://www.cotton.senate.gov	H2AR04083	SenTomCotton
G000562	R	M	Sen	1974-08-22	Cory		Gardner		CO	Junior Seat	II	https://www.gardner.senate.gov	H0CO04122	SenCoryGardner
M001169	D	M	Sen	1973-08-03	Christopher	S.	Murphy		CT	Junior Seat	I	https://www.murphy.senate.gov	H6CT05124	senmurphyoffice
S001194	D	M	Sen	1972-10-20	Brian	Emanuel	Schatz		HI	Senior Seat	III	https://www.schatz.senate.gov	S4HI00136	SenBrianSchatz
Y000064	R	M	Sen	1972-08-24	Todd	C.	Young		IN	Junior Seat	III	https://www.young.senate.gov	H0IN09070	SenToddYoung
S001197	R	M	Sen	1972-02-22	Benjamin	Eric	Sasse		NE	Junior Seat	II	https://www.sasse.senate.gov/public	S4NE00090	SenSasse
H001046	D	M	Sen	1971-10-17	Martin		Heinrich		NM	Junior Seat	I	https://www.heinrich.senate.gov	H8NM01224	MartinHeinrich
L000577	R	M	Sen	1971-06-04	Mike		Lee		UT	Junior Seat	III	https://www.lee.senate.gov/public	S0UT00165	SenMikeLee
R000595	R	M	Sen	1971-05-28	Marco		Rubio		FL	Junior Seat	III	https://www.rubio.senate.gov	S0FL00338	SenRubioPress
C001098	R	M	Sen	1970-12-22	Ted		Cruz		TX	Junior Seat	I	https://www.cruz.senate.gov	S2TX00312	SenTedCruz
E000295	R	F	Sen	1970-07-01	Joni		Ernst		IA	Junior Seat	II	http://www.ernst.senate.gov/public	S4IA00129	SenJoniErnst
B001288	D	M	Sen	1969-04-27	Cory	Anthony	Booker		NJ	Junior Seat	II	https://www.booker.senate.gov	S4NJ00185	senbookeroffice
D000622	D	F	Sen	1968-03-12	Tammy		Duckworth		IL	Junior Seat	III	https://www.duckworth.senate.gov	H6IL06141	SenDuckworth
L000575	R	M	Sen	1968-03-04	James		Lankford		OK	Junior Seat	III	https://www.lankford.senate.gov	H0OK05114	SenatorLankford
G000555	D	F	Sen	1966-12-09	Kirsten	E.	Gillibrand		NY	Junior Seat	I	https://www.gillibrand.senate.gov	H6NY20167	SenGillibrand
S001184	R	M	Sen	1965-09-19	Tim		Scott		SC	Junior Seat	III	https://www.scott.senate.gov	H0SC01279	SenatorTimScott
