title	firstname	middlename	lastname	name_suffix	nickname	bioguide_id	party	state	district	in_office	gender	phone	fax	website	webform	congress_office	votesmart_id	fec_id	govtrack_id	crp_id	twitter_id	congresspedia_url	youtube_url	facebook_id	official_rss	senate_class	birthdate	oc_email
Rep	Elise		Stefanik			S001196	R	NY	21	1	F	202-225-4611	202-226-0621	https://stefanik.house.gov		318 Cannon House Office Building	152539	H4NY21079	412648	N00035523	RepStefanik			RepEliseStefanik			1984-07-02	Rep.Stefanik@opencongress.org
Rep	Mike		Gallagher			G000579	R	WI	8	1	M	202-225-5665		https://gallagher.house.gov		1007 Longworth House Office Building	171843	H6WI08155	412731	N00039330	RepGallagher			RepMikeGallagher			1984-03-03	Rep.Gallagher@opencongress.org
Rep	Trey		Hollingsworth			H001074	R	IN	9	1	M	202-225-5315		https://hollingsworth.house.gov		1641 Longworth House Office Building	167423	H6IN09176	412703	N00038429	reptrey			reptrey			1983-09-12	Rep.Hollingsworth@opencongress.org
Rep	Matt		Gaetz			G000578	R	FL	1	1	M	202-225-4136		https://gaetz.house.gov		507 Cannon House Office Building	117101	H6FL01119	412690	N00039503	RepMattGaetz			CongressmanMattGaetz			1982-05-07	Rep.Gaetz@opencongress.org
Rep	Aaron		Schock			S001179	R	IL	18	0	M	202-225-6201	202-225-9249	http://schock.house.gov	https://schock.house.gov/contact/contactform.htm?zip5=	2464 Rayburn House Office Building	33428	H8IL18043	412314	N00029273		http://www.opencongress.org/wiki/Aaron_Schock					1981-05-28	
Rep	Tulsi		Gabbard			G000571	D	HI	2	1	F	202-225-4906	202-225-4987	https://gabbard.house.gov		1433 Longworth House Office Building	129306	H2HI02508	412532	N00033281	TulsiPress		http://youtube.com/tulsipress	RepTulsiGabbard			1981-04-12	Rep.Gabbard@opencongress.org
Rep	Eric		Swalwell			S001193	D	CA	15	1	M	202-225-5065		https://swalwell.house.gov		129 Cannon House Office Building	129529	H2CA15094	412514	N00033508	RepSwalwell		http://youtube.com/ericswalwell	CongressmanEricSwalwell			1980-11-16	Rep.Swalwell@opencongress.org
Rep	Joseph	P.	Kennedy	III		K000379	D	MA	4	1	M	202-225-5931	202-225-0182	https://kennedy.house.gov		434 Cannon House Office Building	141275	H2MA04073	412543	N00034044	RepJoeKennedy			301936109927957			1980-10-04	Rep.Kennedy@opencongress.org
Rep	Brian		Mast			M001199	R	FL	18	1	M	202-225-3026		https://mast.house.gov		2182 Rayburn House Office Building	166245	H6FL18097	412698	N00037269	repbrianmast		http://youtube.com/repbrianmast	repbrianmast			1980-07-10	Rep.Mast@opencongress.org
Rep	Jason	T.	Smith			S001195	R	MO	8	1	M	202-225-4404	202-226-0326	https://jasonsmith.house.gov		1118 Longworth House Office Building	59318	H4MO08162	412596	N00035282	RepJasonSmith		http://youtube.com/RepJasonSmith	repjasonsmith			1980-06-16	Rep.Jasonsmith@opencongress.org
Rep	Ruben		Kihuen			K000390	D	NV	4	1	M	202-225-9894		https://kihuen.house.gov		313 Cannon House Office Building	66851	H2NV00050	412716	N00033530	RepKihuen			RepKihuen			1980-04-25	Rep.Kihuen@opencongress.org
Rep	Justin		Amash			A000367	R	MI	3	1	M	202-225-3831	202-225-5144	http://amash.house.gov		114 Cannon House Office Building	105566	H0MI03126	412438	N00031938		http://www.opencongress.org/wiki/Justin_Amash	http://youtube.com/repjustinamash	repjustinamash			1980-04-18	Rep.Amash@opencongress.org
Rep	Carlos		Curbelo			C001107	R	FL	26	1	M	202-225-2778		http://curbelo.house.gov		1404 Longworth House Office Building	137676	H4FL26038	412621	N00035403	RepCurbelo			repcurbelo			1980-03-01	Rep.Curbelo@opencongress.org
Rep	Lee		Zeldin			Z000017	R	NY	1	1	M	202-225-3826	202-225-3143	https://zeldin.house.gov		1517 Longworth House Office Building		H8NY01148	412646	N00029404	RepLeeZeldin			RepLeeZeldin			1980-01-30	Rep.Zeldin@opencongress.org
Rep	Ruben		Gallego			G000574	D	AZ	7	1	M	202-225-4065		https://rubengallego.house.gov		1218 Longworth House Office Building		H4AZ07043	412612	N00036097	RepRubenGallego			RepRubenGallego			1979-11-20	Rep.Rubengallego@opencongress.org
Rep	Jim		Banks			B001299	R	IN	3	1	M	202-225-4436		https://banks.house.gov		509 Cannon House Office Building	116801	H6IN03229	412702	N00037185	RepJimBanks			RepJimBanks			1979-07-16	Rep.Banks@opencongress.org
Rep	Scott		Taylor			T000477	R	VA	2	1	M	202-225-4215		https://taylor.house.gov		412 Cannon House Office Building	144514	H0VA02118	412727	N00031263	RepScottTaylor						1979-06-27	Rep.Taylor@opencongress.org
Rep	Pete		Aguilar			A000371	D	CA	31	1	M	202-225-3201	202-226-6962	https://aguilar.house.gov		1223 Longworth House Office Building	70114	H2CA31125	412615	N00033997	reppeteaguilar			reppeteaguilar			1979-06-19	Rep.Aguilar@opencongress.org
Rep	Jaime		Herrera Beutler			H001056	R	WA	3	1	F	202-225-3536	202-225-3478	http://herrerabeutler.house.gov		1107 Longworth House Office Building	101907	H0WA03187	412486	N00031559	HerreraBeutler	http://www.opencongress.org/wiki/Jaime_Herrera	http://youtube.com/RepHerreraBeutler	herrerabeutler			1978-11-03	Rep.Herrerabeutler@opencongress.org
Rep	Seth		Moulton			M001196	D	MA	6	1	M	202-225-8020	202-225-5915	http://moulton.house.gov		1408 Longworth House Office Building	146299	H4MA06090	412632	N00035431	teammoulton			CongressmanSethMoulton			1978-10-24	Rep.Moulton@opencongress.org
Rep	Stephanie		Murphy			M001202	D	FL	7	1	F	202-225-4035		https://stephaniemurphy.house.gov		1237 Longworth House Office Building	173426	H6FL07140	412694	N00040133	RepStephMurphy		http://youtube.com/RepStephMurphy	RepStephMurphy			1978-09-16	Rep.Stephaniemurphy@opencongress.org
Rep	Ron		DeSantis			D000621	R	FL	6	1	M	202-225-2706	202-226-6299	http://desantis.house.gov		1524 Longworth House Office Building	137630	H2FL00292	412526	N00034746	RepDeSantis		http://youtube.com/RepRonDeSantis	RepDeSantis			1978-09-14	Rep.Desantis@opencongress.org
Rep	Adam		Kinzinger			K000378	R	IL	16	1	M	202-225-3635	202-225-3521	http://kinzinger.house.gov		2245 Rayburn House Office Building	116559	H0IL11052	412421	N00030667	RepKinzinger	http://www.opencongress.org/wiki/Adam_Kinzinger	http://youtube.com/RepAdamKinzinger	RepKinzinger			1978-02-27	Rep.Kinzinger@opencongress.org
